iter	Logloss
176	0.3247301725
177	0.3240498475
178	0.3235518758
179	0.3230554084
180	0.3226114137
181	0.3221613156
182	0.321773323
183	0.3214432992
184	0.3209452408
185	0.3203371455
186	0.3201172454
187	0.3198838365
188	0.3193104242
189	0.3188721571
190	0.318413757
191	0.3180972999
192	0.3175380616
193	0.3170893231
194	0.3166693665
195	0.3159608958
196	0.3155516421
197	0.3153068651
198	0.3146897158
199	0.3143722173
200	0.3141271221
201	0.3135550693
202	0.3129298784
203	0.312375847
204	0.3120647123
205	0.311533099
206	0.3111030759
207	0.3106861856
208	0.3102815312
209	0.3098700212
210	0.3096044748
211	0.3092570083
212	0.3090428935
213	0.3087247876
214	0.3083670811
215	0.3079208012
216	0.3076514655
217	0.3071381917
218	0.3065438076
219	0.3061966304
220	0.3058490482
221	0.3055350209
222	0.3050154121
223	0.3045359245
224	0.3039805335
225	0.3036218146
226	0.3031253471
227	0.3025235578
228	0.3018619194
229	0.3011730031
230	0.3007859361
231	0.3004233699
232	0.3001805599
233	0.2996726086
234	0.2990975475
235	0.2986569951
236	0.2981998389
237	0.2977727664
238	0.2973572067
239	0.2970994705
240	0.2965966103
241	0.2962488545
242	0.2959552494
243	0.2952996277
244	0.2947968252
245	0.2942713154
246	0.2939036582
247	0.2935372737
248	0.2931802325
249	0.2929074834
250	0.2926801202
251	0.2922512832
252	0.2919512563
253	0.2916601678
254	0.2912941883
255	0.2909537799
256	0.2907012506
257	0.2903247417
258	0.2899881517
259	0.2895682529
260	0.2889687199
261	0.288561896
262	0.288285965
263	0.2880367044
264	0.2877382396
265	0.2870822997
266	0.2867350646
267	0.2862088895
268	0.2856910452
269	0.2853917416
270	0.2851640602
271	0.2848833563
272	0.2843899261
273	0.2840356908
274	0.2835450376
275	0.2832841774
276	0.2827100998
277	0.2822486046
278	0.282058846
279	0.2817378184
280	0.2814136379
281	0.2812462395
282	0.2809573784
283	0.2803711805
284	0.2799293265
285	0.2795848684
286	0.2791639861
287	0.2788965885
288	0.2785854249
289	0.2783088286
290	0.2780301207
291	0.2775099623
292	0.2771757442
293	0.2766699045
294	0.2765032583
295	0.2761158441
296	0.2758438472
297	0.2754850125
298	0.2750741678
299	0.2748240973
300	0.2743364813
301	0.2740311031
302	0.2737781398
303	0.2734604099
304	0.2733117849
305	0.2728207846
306	0.2723825464
307	0.271979049
308	0.2716271857
309	0.2713038151
310	0.2712221263
311	0.2710057842
312	0.2705224494
313	0.270029482
314	0.2696633868
315	0.269535184
316	0.2691502865
317	0.2689775367
318	0.268552894
319	0.2681040976
320	0.2677076005
321	0.2674474346
322	0.2670863147
323	0.2669118583
324	0.2667135085
325	0.2663683561
326	0.2661633821
327	0.2659571354
328	0.2657884064
329	0.2656245082
330	0.2652664257
331	0.2650398435
332	0.2648179764
333	0.2644270332
334	0.264161834
335	0.2638517407
336	0.2634853851
337	0.2632854733
338	0.2626940687
339	0.2623298247
340	0.2617993106
341	0.2614914736
342	0.2611238742
343	0.260893358
344	0.2606774497
345	0.2602578981
346	0.2597931631
347	0.2594490521
348	0.2591719352
349	0.2588951075
350	0.2586816291
351	0.2583671389
352	0.2579503064
353	0.2576899669
354	0.2574870177
355	0.2572234095
356	0.2568161806
357	0.2565796477
358	0.2563057705
359	0.2559320387
360	0.2555210493
361	0.2552609412
362	0.2546717639
363	0.254152994
364	0.2538301441
365	0.2534799874
366	0.2532702405
367	0.2530730189
368	0.2528525981
369	0.2525921139
370	0.2521280442
371	0.251778119
372	0.2515977905
373	0.2512093639
374	0.2509093949
375	0.2505887145
376	0.2504127828
377	0.2501486539
378	0.2497730129
379	0.2493765447
380	0.2489567038
381	0.2487233528
382	0.2483572865
383	0.2479626986
384	0.247571495
385	0.2473888813
386	0.2470817096
387	0.2469406345
388	0.2467671616
389	0.246477288
390	0.2460950517
391	0.2457765407
392	0.2456450114
393	0.2453576834
394	0.244966827
395	0.2447226285
396	0.2443935882
397	0.2440568535
398	0.2438275812
399	0.2434249227
400	0.2431420783
401	0.2428183316
402	0.2424697804
403	0.2421655302
404	0.2419481178
405	0.2417670806
406	0.241389299
407	0.2411609523
408	0.2409430915
409	0.2407535643
410	0.2404786603
411	0.2402144446
412	0.2400433147
413	0.2397505918
414	0.2394681813
415	0.2392187616
416	0.2388416742
417	0.2385663507
418	0.2382180453
419	0.2378009525
420	0.2375803292
421	0.2371364792
422	0.2368952891
423	0.2366653081
424	0.2365110569
425	0.2361992569
426	0.235985576
427	0.2356096458
428	0.2354099943
429	0.2350893138
430	0.234844667
431	0.234651495
432	0.2344601021
433	0.2341237724
434	0.2339643144
435	0.2335883986
436	0.233373821
437	0.2331538051
438	0.2329049784
439	0.2325090454
440	0.2321888277
441	0.2318922865
442	0.2315431423
443	0.2311966015
444	0.2308125139
445	0.2306068457
446	0.2302816237
447	0.2301005142
448	0.2299952792
449	0.2297083272
450	0.2294283175
451	0.2292754838
452	0.2290234028
453	0.2287943908
454	0.2284259525
455	0.2282189247
456	0.2279567339
457	0.2276811211
458	0.2274825977
459	0.2272506642
460	0.2269589392
461	0.2267423368
462	0.2265991645
463	0.2263449863
464	0.2260157147
465	0.2257011811
466	0.2255854313
467	0.2253775068
468	0.2250975984
469	0.2247578264
470	0.224663757
471	0.2244512911
472	0.2242107663
473	0.2238942657
474	0.2237188403
475	0.2234458164
476	0.223182266
477	0.222895907
478	0.2226117753
479	0.2224475734
480	0.2222285411
481	0.2218448151
482	0.2214672649
483	0.2213110757
484	0.2210729807
485	0.2208782467
486	0.2207546722
487	0.2204542983
488	0.2203602
489	0.2199925283
490	0.2196765195
491	0.2194079503
492	0.219098855
493	0.2187571738
494	0.2184345408
495	0.218184774
496	0.2178902142
497	0.217704462
498	0.2175388427
499	0.2172026865
500	0.2170572724
501	0.2167884718
502	0.2165680366
503	0.216491381
504	0.2163157676
505	0.2162578275
506	0.2159386802
507	0.2156107103
508	0.2153582388
509	0.2151744969
510	0.2149788518
511	0.2147397154
512	0.214335654
513	0.2141334425
514	0.21380945
515	0.2136964482
516	0.2135443086
517	0.2132711546
518	0.2130778091
519	0.2128183663
520	0.2127217225
521	0.2126334963
522	0.2124849582
523	0.2122366087
524	0.2120019126
525	0.2117395482
526	0.2114867875
527	0.2113366584
528	0.2110436896
529	0.2108138966
530	0.2105494205
531	0.2104088806
532	0.2101452145
533	0.2099402405
534	0.2098461567
535	0.2095270094
536	0.2093607103
537	0.2090599747
538	0.2088102079
539	0.2086219824
540	0.2083864619
541	0.2080169678
542	0.2077784534
543	0.2075399679
544	0.2072925152
545	0.2070229336
546	0.2067718072
547	0.2064580691
548	0.2060716385
549	0.2058185885
550	0.2055878987
551	0.2053393323
552	0.2050041307
553	0.2047610604
554	0.2044803854
555	0.2042497825
556	0.2040632926
557	0.2038844104
558	0.203650611
559	0.203470297
560	0.203266104
561	0.2030438608
562	0.202841606
563	0.2026828422
564	0.2024321208
565	0.2022803139
566	0.2021678039
567	0.2018795068
568	0.201545144
569	0.2012527249
570	0.2010604208
571	0.2009414601
572	0.2007769255
573	0.2005997066
574	0.2004020221
575	0.2001148531
576	0.1998101257
577	0.1994810999
578	0.1992746941
579	0.1991464624
580	0.1990593065
581	0.1988620848
582	0.1985998072
583	0.1983845932
584	0.198259717
585	0.1980531665
586	0.1978891526
587	0.1976720729
588	0.1974600263
589	0.1973084364
590	0.1970552417
591	0.196940837
592	0.1966953947
593	0.1964246126
594	0.1961034115
595	0.1958214927
596	0.1956359863
597	0.1954694269
598	0.1953324304
599	0.1950767047
600	0.1948779065
601	0.1946379892
602	0.1944140683
603	0.1942175698
604	0.1941265956
605	0.1939942563
606	0.1937544258
607	0.1934561345
608	0.1932968646
609	0.1931423097
610	0.1929500923
611	0.1928322164
612	0.1926509622
613	0.1923909843
614	0.1921739334
615	0.1921171505
616	0.1917835254
617	0.1915596189
618	0.1913043994
619	0.1911398214
620	0.1908406334
621	0.1906078899
622	0.1904573703
623	0.1903182477
624	0.1901754659
625	0.1900494038
626	0.1898499692
627	0.1895861874
628	0.1893821391
629	0.1890638596
630	0.1888618071
631	0.1886625317
632	0.1884694176
633	0.1883626929
634	0.1882589476
635	0.1880427211
636	0.1878814263
637	0.1876894838
638	0.1875108909
639	0.1872328916
640	0.1869943483
641	0.1868250842
642	0.1866973588
643	0.1865269376
644	0.1863130542
645	0.1861510652
646	0.1859639679
647	0.1857129716
648	0.1855219258
649	0.1854077669
650	0.1851385469
651	0.1849403562
652	0.1846604189
653	0.1844773568
654	0.184386643
655	0.1842819865
656	0.1841283428
657	0.1839838832
658	0.1838386427
659	0.1837181634
660	0.1834793452
661	0.1832990167
662	0.1830741702
663	0.1828353376
664	0.182734861
665	0.1825779341
666	0.1823922975
667	0.1822210664
668	0.1820518891
669	0.1819088904
670	0.1818320324
671	0.1816726468
672	0.1815374727
673	0.1813535139
674	0.1811281322
675	0.181038315
676	0.1807623841
677	0.1806287286
678	0.1803996443
679	0.1802765616
680	0.1799976945
681	0.1799205907
682	0.1798052169
683	0.1796133466
684	0.1794389481
685	0.1792486543
686	0.17900596
687	0.1788160279
688	0.1785811438
689	0.1784520443
690	0.1783738412
691	0.1780604647
692	0.1778804833
693	0.1777672067
694	0.1775884547
695	0.1773050751
696	0.1771436212
697	0.1768935072
698	0.1766909631
699	0.1765096655
700	0.1763078735
701	0.1761034057
702	0.1758555769
703	0.1757001542
704	0.1755345638
705	0.1754054065
706	0.1751033693
707	0.1749289273
708	0.1746675464
709	0.1745481952
710	0.1744369435
711	0.1742075988
712	0.1740731624
713	0.1738823624
714	0.1736635326
715	0.1734585586
716	0.1733129131
717	0.1732342761
718	0.1730594292
719	0.1728540068
720	0.1726169098
721	0.1724263413
722	0.1721963747
723	0.1720471712
724	0.1719320867
725	0.1717600746
726	0.1714439934
727	0.1712849115
728	0.1711241808
729	0.1709648819
730	0.1707901073
731	0.1706463421
732	0.1705359581
733	0.1704421635
734	0.1703212358
735	0.1702464461
736	0.1701021457
737	0.1699756785
738	0.1697711963
739	0.1696508326
740	0.1694950917
741	0.1693279248
742	0.1691367488
743	0.169000707
744	0.1688133782
745	0.1686198736
746	0.1684644799
747	0.1682713802
748	0.1681308403
749	0.1679826203
750	0.1678902287
751	0.167846969
752	0.1676327095
753	0.167476043
754	0.1672566057
755	0.1671243966
756	0.1670244841
757	0.1668871694
758	0.1667024441
759	0.1665060613
760	0.1663302019
761	0.166231837
762	0.1661055578
763	0.1659015095
764	0.1657699802
765	0.1656193448
766	0.1654729328
767	0.1653229194
768	0.1651578352
769	0.1650041481
770	0.1649464106
771	0.1647994634
772	0.1646252528
773	0.1644172271
774	0.1642766437
775	0.1641148572
776	0.1639685897
777	0.1638489348
778	0.1637019587
779	0.1636003395
780	0.1634424146
781	0.1633041165
782	0.1632109873
783	0.1631146616
784	0.1629220972
785	0.1628081841
786	0.1626902793
787	0.1625049175
788	0.1624015627
789	0.1622647109
790	0.1620643363
791	0.1619179965
792	0.1618155529
793	0.1617136878
794	0.1615699949
795	0.1614589312
796	0.1613609278
797	0.1612231503
798	0.1610740915
799	0.1608347961
800	0.160594951
801	0.1603847124
802	0.1601917719
803	0.1601047462
804	0.159930767
805	0.1598188355
806	0.159691515
807	0.1594558499
808	0.159361983
809	0.1591445561
810	0.1589346791
811	0.158804813
812	0.1586573886
813	0.1585604265
814	0.1584422902
815	0.1583473097
816	0.1581994513
817	0.157965247
818	0.1578636278
819	0.1576114311
820	0.157507006
821	0.1573664371
822	0.1571014115
823	0.1569090784
824	0.1567268986
825	0.1565604694
826	0.1564259027
827	0.1561886033
828	0.1560230273
829	0.155925212
830	0.1557425693
831	0.155598023
832	0.1554436996
833	0.1553585685
834	0.1552681439
835	0.1551869035
836	0.1550417642
837	0.1549699395
838	0.1548097439
839	0.1546934733
840	0.1544688871
841	0.1542574191
842	0.1541602112
843	0.1540337585
844	0.1538774825
845	0.1538196726
846	0.1536442327
847	0.1536118928
848	0.1534102164
849	0.1532435991
850	0.1531089602
851	0.1529975204
852	0.1528447011
853	0.1526232389
854	0.1524650538
855	0.1523620027
856	0.1522101669
857	0.1520885016
858	0.1519246467
859	0.1518359288
860	0.1516535031
861	0.1515171865
862	0.1513404015
863	0.1511794393
864	0.1510806549
865	0.1508437604
866	0.1507015138
867	0.150517743
868	0.1503374579
869	0.1502080836
870	0.1500955157
871	0.1500302138
872	0.1499147243
873	0.1497686739
874	0.1496829354
875	0.1496186749
876	0.1494764861
877	0.1494117194
878	0.1492287008
879	0.1490462606
880	0.1489161776
881	0.1487911279
882	0.1486640532
883	0.1485428797
884	0.1483757851
885	0.1482542788
886	0.1480961515
887	0.1479841476
888	0.1478243859
889	0.1477780744
890	0.1476253998
891	0.1474196014
892	0.1472723938
893	0.1471727416
894	0.1470807116
895	0.1470021469
896	0.1469088875
897	0.1468318415
898	0.1467657731
899	0.1466598872
900	0.146498549
901	0.1463468434
902	0.1461180194
903	0.1459433895
904	0.1457489158
905	0.1456414245
906	0.1454269481
907	0.1452879124
908	0.1452210919
909	0.1451827352
910	0.1450987034
911	0.144988305
912	0.1448293098
913	0.1445838675
914	0.1444896535
915	0.1443335655
916	0.1441957157
917	0.1440258008
918	0.1439322087
919	0.1438545697
920	0.1436728238
921	0.1435624398
922	0.1434242719
923	0.1433286549
924	0.1432116757
925	0.1431054427
926	0.143042672
927	0.142938811
928	0.1428039406
929	0.1426863395
930	0.1425269538
931	0.1424107845
932	0.1422349686
933	0.1421200431
934	0.1419414213
935	0.1418799812
936	0.1417382986
937	0.1416148109
938	0.141408217
939	0.1413029241
940	0.1411335299
941	0.1410195301
942	0.1408200377
943	0.1407428326
944	0.1406495876
945	0.1405121284
946	0.1403262604
947	0.140068047
948	0.139935809
949	0.1398718088
950	0.1398221563
951	0.1396828457
952	0.1395334976
953	0.1393896889
954	0.1393333399
955	0.1392578559
956	0.1391368125
957	0.1389896049
958	0.1388907627
959	0.138773957
960	0.1387258087
961	0.1386028995
962	0.1384876703
963	0.1382895085
964	0.1382137931
965	0.1380662095
966	0.1380242804
967	0.1379059995
968	0.1377215779
969	0.1375407721
970	0.1373604291
971	0.1372284514
972	0.137096763
973	0.1369577562
974	0.1368683874
975	0.1367074831
976	0.1365912849
977	0.136483808
978	0.1363099591
979	0.1361852565
980	0.1361461766
981	0.1360324516
982	0.1358036276
983	0.1357331769
984	0.1355393541
985	0.1354351749
986	0.1352877504
987	0.1351356976
988	0.1349595201
989	0.1348363795
990	0.1347405312
991	0.1345622998
992	0.1343528711
993	0.1341110302
994	0.134026174
995	0.1339341005
996	0.1338572281
997	0.1336023267
998	0.133509805
999	0.1334658944
